feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,target

-5.573047637939453,-24.323043823242188,50.23995590209961,-31.899520874023438,8.48516845703125,32.70885467529297,-50.58510208129883,23.729888916015625,13.177255630493164,-62.237937927246094,27.2171630859375,-4.309726715087891,-4.243894577026367,32.080474853515625,-0.3137359619140625,-31.334365844726562,50.29350280761719,-21.841527938842773,-52.56763458251953,44.602294921875,-22.69167709350586,-62.74271774291992,34.30029296875,-17.020309448242188,1.6003303527832031,18.586166381835938,-14.167328834533691,-35.512386322021484,33.48152160644531,-32.20628356933594,-56.8361701965332,22.537002563476562,-22.439472198486328,-62.431549072265625,11.091812133789062,-11.027030944824219,5.935451507568359,0.660186767578125,-23.792247772216797,-27.587839126586914,13.927215576171875,-42.60456848144531,-49.295982360839844,6.3462677001953125,-32.26006317138672,-56.20921325683594,-2.747161865234375,-19.662120819091797,6.079185485839844,-17.498184204101562,-31.029525756835938,-18.977296829223633,-4.9573974609375,-46.86116027832031,-34.98154067993164,-6.5928497314453125,-39.2391357421875,-42.69651412963867,-12.166168212890625,-26.767406463623047,0

-5.728307723999023,31.636703491210938,3.6841068267822266,-17.925600051879883,61.52931213378906,-18.37744140625,-32.8331184387207,72.91447448730469,-29.87127685546875,-46.19413757324219,77.23435974121094,-36.553314208984375,-5.905824661254883,-30.89312744140625,46.44843673706055,-30.652360916137695,3.313995361328125,29.29376983642578,-47.719337463378906,20.175155639648438,9.609888076782227,-58.02091979980469,25.130325317382812,-8.364203453063965,1.1457443237304688,20.328903198242188,-11.582018852233887,-35.687747955322266,36.6181640625,-28.976932525634766,-56.05242156982422,22.8336181640625,-20.905773162841797,-59.93226623535156,9.435302734375,-11.007478713989258,6.595771789550781,4.014801025390625,-23.28333282470703,-26.745454788208008,18.389083862304688,-41.599220275878906,-47.604270935058594,7.813018798828125,-32.176910400390625,-52.911720275878906,-3.4690093994140625,-20.612384796142578,7.8014068603515625,-13.019699096679688,-32.79633331298828,-16.628135681152344,0.8549652099609375,-48.49445343017578,-32.56648254394531,-2.6862640380859375,-41.39976501464844,-39.39668655395508,-10.528076171875,-29.653221130371094,0

-5.891145706176758,31.627243041992188,3.5040550231933594,-17.393171310424805,61.50669860839844,-18.945363998413086,-31.612262725830078,73.31889343261719,-30.872385025024414,-44.5350341796875,78.19190979003906,-38.01964569091797,-6.091396331787109,-30.71343994140625,46.54353713989258,-30.64704132080078,3.5567169189453125,29.241024017333984,-47.55750274658203,20.457351684570312,9.456159591674805,-57.76032257080078,25.483184814453125,-8.554604530334473,1.1371002197265625,20.282424926757812,-11.664072036743164,-35.79640197753906,36.0865478515625,-29.292892456054688,-55.949092864990234,22.064590454101562,-21.09954833984375,-59.536338806152344,8.678512573242188,-11.07513427734375,6.738578796386719,3.940887451171875,-23.255054473876953,-26.634014129638672,17.916213989257812,-41.82086181640625,-47.40178680419922,7.2063446044921875,-32.34870910644531,-52.558563232421875,-4.045684814453125,-20.687191009521484,8.083854675292969,-13.129989624023438,-32.68376922607422,-16.438390731811523,0.4373779296875,-48.505455017089844,-32.3191032409668,-3.242828369140625,-41.35249328613281,-38.99666976928711,-11.104736328125,-29.53186798095703,0

-5.791725158691406,31.616195678710938,3.760122299194336,-18.101709365844727,61.61125183105469,-18.098878860473633,-33.16749572753906,72.91926574707031,-29.46175765991211,-46.62751388549805,77.10563659667969,-36.02910614013672,-5.816457748413086,-31.01220703125,46.38031005859375,-30.553075790405273,3.36834716796875,29.56131935119629,-47.65635299682617,20.487518310546875,10.133308410644531,-58.0338020324707,25.697250366210938,-7.7247819900512695,1.0973396301269531,20.357864379882812,-11.535755157470703,-35.95146942138672,36.501373291015625,-28.606252670288086,-56.060646057128906,22.417022705078125,-20.41301727294922,-59.714202880859375,8.9185791015625,-10.56478500366211,6.574695587158203,4.0820770263671875,-23.277597427368164,-27.00196647644043,18.295623779296875,-41.286258697509766,-47.614044189453125,7.4249725341796875,-31.658466339111328,-52.670265197753906,-3.9661407470703125,-20.08831214904785,7.810356140136719,-12.927932739257812,-32.83049011230469,-16.696380615234375,0.9470062255859375,-48.407562255859375,-32.55876159667969,-2.7371063232421875,-41.216041564941406,-39.26601028442383,-10.679885864257812,-29.46649932861328,0

-5.641452789306641,31.378890991210938,5.550201416015625,-14.114143371582031,63.47029113769531,-15.123684883117676,-25.919883728027344,77.69474792480469,-27.05069923400879,-37.261932373046875,84.86289978027344,-34.91222381591797,7.773822784423828,5.5059967041015625,-22.605045318603516,-24.373958587646484,21.803237915039062,-41.43718338012695,-46.60757064819336,11.854324340820312,-34.92496871948242,-53.698463439941406,0.0714569091796875,-24.921234130859375,-8.45467758178711,-33.898223876953125,43.887939453125,-32.28533935546875,1.4485015869140625,27.77862548828125,-48.09490966796875,18.2506103515625,7.023332595825195,-56.956111907958984,22.940048217773438,-11.771145820617676,1.8863105773925781,21.052169799804688,-10.097943305969238,-32.55309295654297,40.89262390136719,-28.669750213623047,-55.31563949584961,29.251449584960938,-24.64157485961914,-62.00605773925781,15.635162353515625,-16.74350929260254,9.30795669555664,-10.857742309570312,-33.18804168701172,-13.700576782226562,4.5587615966796875,-49.579463958740234,-30.51587677001953,1.63330078125,-44.5204963684082,-39.12886047363281,-6.3631439208984375,-34.128177642822266,0

-9.02483081817627,30.495346069335938,5.987640380859375,-27.359460830688477,59.43199157714844,-12.868840217590332,-45.8967399597168,66.83967590332031,-22.113290786743164,-60.750221252441406,66.51383972167969,-26.706298828125,-1.9308555126190186,-34.56634521484375,44.13798522949219,-30.812854766845703,-2.5393218994140625,29.410430908203125,-50.09138488769531,13.741012573242188,11.345966339111328,-61.289306640625,18.948440551757812,-6.010103225708008,-1.1926519870758057,21.104385375976562,-10.09465217590332,-39.88926696777344,34.88414001464844,-25.499818801879883,-58.98072814941406,18.731369018554688,-18.830440521240234,-62.08926010131836,4.2071380615234375,-10.349403381347656,5.807826042175293,6.3427581787109375,-22.973352432250977,-29.436092376708984,18.430862426757812,-39.266693115234375,-48.94776916503906,4.938690185546875,-30.723941802978516,-53.29098129272461,-7.81060791015625,-20.342063903808594,8.695725440979004,-9.745101928710938,-33.69557571411133,-17.613407135009766,2.40582275390625,-47.69287109375,-32.87050247192383,-3.4969024658203125,-40.672576904296875,-38.84713363647461,-12.902801513671875,-29.630126953125,0

-9.50717544555664,30.333709716796875,6.061927795410156,-25.366960525512695,60.540924072265625,-13.044203758239746,-41.8177490234375,70.911865234375,-23.32912826538086,-55.826194763183594,73.8515625,-29.407737731933594,-1.6651029586791992,-34.77537536621094,43.98434829711914,-30.437246322631836,-2.5284271240234375,29.524089813232422,-49.59034729003906,13.767578125,11.340717315673828,-60.61920928955078,18.9151611328125,-6.141012191772461,-1.448103904724121,21.126556396484375,-10.01456069946289,-40.28858184814453,34.379364013671875,-25.51971435546875,-58.76911163330078,17.571014404296875,-18.750200271606445,-61.15728759765625,2.9268951416015625,-10.24190902709961,5.84089469909668,6.52374267578125,-22.91421890258789,-29.49376106262207,18.116790771484375,-39.369964599609375,-48.549530029296875,4.0593109130859375,-30.710411071777344,-52.274818420410156,-8.830352783203125,-20.2619571685791,9.025444030761719,-9.474822998046875,-33.68595504760742,-17.255428314208984,2.4812469482421875,-47.90242385864258,-32.35432434082031,-3.7932281494140625,-40.86253356933594,-37.876609802246094,-13.435028076171875,-29.787017822265625,0

-7.561618804931641,29.55010986328125,10.811042785644531,-20.070695877075195,63.7196044921875,-3.5075931549072266,-32.348148345947266,79.9488525390625,-11.864583969116211,-43.27739715576172,89.37680053710938,-17.651899337768555,-0.6132106781005859,-40.49565124511719,38.8129997253418,-28.347639083862305,-4.62786865234375,34.2191047668457,-48.016231536865234,15.3948974609375,20.980087280273438,-60.0194091796875,23.533843994140625,5.37799072265625,-1.0160045623779297,22.362518310546875,-6.899602890014648,-38.45684051513672,42.165924072265625,-18.32930564880371,-59.98579788208008,28.3770751953125,-14.298402786254883,-65.20880126953125,13.217315673828125,-8.344697952270508,4.692333221435547,9.423675537109375,-22.15654754638672,-32.06503677368164,22.98651123046875,-33.05030822753906,-48.81505584716797,6.59674072265625,-23.74787712097168,-50.273292541503906,-7.766448974609375,-14.760994911193848,6.374835968017578,-5.02545166015625,-35.21478271484375,-20.468124389648438,9.683807373046875,-45.15628433227539,-34.5345573425293,2.084869384765625,-37.32700729370117,-38.545310974121094,-9.268035888671875,-27.26956558227539,0

